name,address,number,lat,long
도로변(횡단보도 포함),서울특별시 강남구 아크로힐스 103동,-,37.509,127.0388
정류소-도로(가로)변,서울특별시 강남구 타이어T-스테이션 강남논현점,-,37.5085,127.0374
정류소-도로(가로)변,서울특별시 강남구 올리브영 언주역점,-,37.5078,127.0351
도로변(횡단보도 포함),서울특별시 강남구 거평타운,-,37.5057,127.0284
정류소-도로(가로)변,서울특별시 강남구 신논현역,-,37.5045,127.0248
정류소-도로(가로)변,서울특별시 강남구 삼정호텔(차병원 건강검진센터),-,37.5065,127.0315
도로변(횡단보도 포함),서울특별시 강남구 여송빌딩,-,37.511,127.0574
정류소-도로(가로)변,서울특별시 강남구 송산빌딩,-,37.4698,127.0423
도로변(횡단보도 포함),서울특별시 강남구 홍익궁중육개장,-,37.5077,127.0362
도로변(횡단보도 포함),서울특별시 강남구 자미온,-,37.5162,127.0379
도로변(횡단보도 포함),서울특별시 강남구 우리은행 역삼동지점,-,37.5087,127.0391
정류소-도로(가로)변,서울특별시 강남구 NK타워,-,37.5092,127.0406
정류소-도로(가로)변,서울특별시 강남구 구다모,-,37.5108,127.0462
정류소-도로(가로)변,서울특별시 강남구 광동한방병원,-,37.5142,127.062
도로변(횡단보도 포함),서울특별시 강남구 삼성동 테헤란로 513 K타워,-,37.5078,127.0589
도로변(횡단보도 포함),서울특별시 강남구 국민은행 삼성동지점,-,37.5073,127.0572
도로변(횡단보도 포함),서울특별시 강남구 KB우준타워,-,37.5069,127.0562
지하철역5-6-10번출구,서울특별시 강남구 선릉역,-,37.504487,127.048957
정류소-도로(가로)변,서울특별시 강남구 한국기술센터,-,37.5032,127.0438
정류소-도로(가로)변,서울특별시 강남구 KEB하나은행 역삼역금융센터,-,37.5016,127.0388
지하4-5-8번출구,서울특별시 강남구 역삼역,-,37.4999072,127.0373932
도로변(횡단보도 포함),서울특별시 강남구 특허청,-,37.4998,127.0328
정류소-도로(가로)변,서울특별시 강남구 단풍나무집 강남점,-,37.4988,127.0296
지하철역12번출구,서울특별시 강남구 강남역,-,37.497952,127.027619
지하철역3-6번출구,서울특별시 강남구 신사역,-,37.524124,127.022883
도로변(횡단보도 포함),서울특별시 강남구 전기공사공제조합,-,37.513,127.0208
도로변(횡단보도 포함),서울특별시 강남구 온누리제일그랜드약국,-,37.5051,127.0246
지하철역5번출구,서울특별시 강남구 신논현역,-,37.504724,127.02538
정류소-도로(가로)변,서울특별시 강남구 한국자산관리공사,-,37.5129039,127.0597409
도로변(횡단보도 포함),서울특별시 강남구 ABC마트 GS강남본점,-,37.5009,127.0265
정류소-도로(가로)변,서울특별시 강남구 씨티약국,-,37.4998,127.027
도로변(횡단보도 포함),서울특별시 강남구 YBM어학원 강남센터,-,37.4991,127.0273
지하철역4번출구,서울특별시 강남구 압구정역,-,37.5305954,127.0306881
도로변(횡단보도 포함),서울특별시 강남구 브라운성형외과의원,-,37.5253,127.0282
정류소-도로(가로)변,서울특별시 강남구 국민은행 압구정종합금융센터,-,37.5229,127.0281
도로변(횡단보도 포함),서울특별시 강남구 하이마트 압구정점,-,37.5197,127.0276
지하철역4-7번출구,서울특별시 강남구 학동역,-,37.514236,127.031593
도로변(횡단보도 포함),서울특별시 강남구 기업은행 언주역지점,-,37.5073,127.0334
도로변(횡단보도 포함),서울특별시 강남구 차병원연구소,-,37.5071,127.0337
정류소-도로(가로)변,서울특별시 강남구 안덕빌딩,-,37.5058,127.0344
도로변(횡단보도 포함),서울특별시 강남구 배민라이더스 남부센터,-,37.505,127.0348
정류소-도로(가로)변,서울특별시 강남구 수협은행 강남기업금융센터,-,37.5017,127.0364
정류소-도로(가로)변,서울특별시 강남구 GS빌딩,-,37.5025,127.0377
지하철역3번출구,서울특별시 강남구 언주역,-,37.507323,127.033903
도로변(횡단보도 포함),서울특별시 강남구 이자카야찬,-,37.5101,127.0327
정류소-도로(가로)변,서울특별시 강남구 스타벅스 논현힐탑점,-,37.5114,127.0321
지하철역3번출구,서울특별시 강남구 학동역,-,37.514236,127.031593
도로변(횡단보도 포함),서울특별시 강남구 국제모피,-,37.5167,127.0296
도로변(횡단보도 포함),서울특별시 강남구 로뎀빌딩,-,37.5122,127.0218
정류소-도로(가로)변,서울특별시 강남구 농협 압구정역지점,-,37.5238,127.0285
도로변(횡단보도 포함),서울특별시 강남구 글로벌뱅앤올룹슨,-,37.5276,127.0333
도로변(횡단보도 포함),서울특별시 강남구 서울세관,-,37.5185,127.0348
정류소-도로(가로)변,서울특별시 강남구 신한은행 영동지점,-,37.517,127.035
도로변(횡단보도 포함),서울특별시 강남구 강남지인병원,-,37.5128,127.0353
정류소-도로(가로)변,서울특별시 강남구 강남 YMCA(논현동225-6),-,37.5104,127.0361
도로변(횡단보도 포함),서울특별시 강남구 르노삼성자동차 강남지점,-,37.5071,127.0398
정류소-도로(가로)변,서울특별시 강남구 언주로 516,-,37.5047,127.0419
정류소-도로(가로)변,서울특별시 강남구 임페리얼 팔레스,-,37.5139,127.0356
정류소-도로(가로)변,서울특별시 강남구 세븐일레븐 논현2호점,-,37.517,127.0356
정류소-도로(가로)변,서울특별시 강남구 아크로갤러리,-,37.5228035,127.0338199
정류소-도로(가로)변,서울특별시 강남구 윤당 아트홀,-,37.5256576,127.0335769
정류소-도로(가로)변,서울특별시 강남구 KS병원,-,37.5093,127.0441
정류소-도로(가로)변,서울특별시 강남구 건우한의원,-,37.5134,127.0428
정류소-도로(가로)변,서울특별시 강남구 청담동 40-25번지도시빌딩,-,37.5186,127.0409
정류소-도로(가로)변,서울특별시 강남구 영동고교입구,-,37.5214,127.0399
정류소-도로(가로)변,서울특별시 강남구 버거킹 청담점,-,37.5242,127.0395
도로변(횡단보도 포함),서울특별시 강남구 Tag Heuer,-,37.5258,127.0402
정류소-도로(가로)변,서울특별시 강남구 청담성모치과,-,37.5232,127.0486
도로변(횡단보도 포함),서울특별시 강남구 피카소 라운지,-,37.5237,127.0484
정류소-도로(가로)변,서울특별시 강남구 설빙 청담공원점,-,37.5202,127.0493
도로변(횡단보도 포함),서울특별시 강남구 노브랜드 강남삼성점,-,37.5163,127.0513
도로변(횡단보도 포함),서울특별시 강남구 리칭,-,37.5086,127.0558
정류소-도로(가로)변,서울특별시 강남구 홈플러스 익스프레스 삼성2점,-,37.5105,127.0548
정류소-도로(가로)변,서울특별시 강남구 강남구도시관리공단,-,37.5157,127.0521
정류소-도로(가로)변,서울특별시 강남구 아베뉴 주노,-,37.5204,127.0495
정류소-도로(가로)변,서울특별시 강남구 리버뷰오피스텔,-,37.5223,127.0555
정류소-도로(가로)변,서울특별시 강남구 대신증권 청담WM센터,-,37.5208,127.0562
정류소-도로(가로)변,서울특별시 강남구 동남철물,-,37.515,127.0594
도로(가로)변,서울특별시 강남구 무역센터,-,37.5136,127.0601
정류소-도로(가로)변,서울특별시 강남구 인터콘티넨탈호텔,-,37.5125,127.0571
정류소-도로(가로)변,서울특별시 강남구 한국산업은행 강남지점,-,37.5076,127.0635
정류소-도로(가로)변,서울특별시 강남구 우리은행 청담동금융센터,-,37.5209,127.0569
정류소-도로(가로)변,서울특별시 강남구 영동낙지(제일정형외과),-,37.5229,127.0559
도로변(횡단보도 포함),서울특별시 강남구 미켈란(삼성동 147-2),-,37.5133,127.0559
도로변(횡단보도 포함),서울특별시 강남구 한국촌(삼성동 153-29),-,37.5114,127.0569
도로변(횡단보도 포함),서울특별시 강남구 세븐럭카지노,-,37.5125,127.0571
도로변(횡단보도 포함),서울특별시 강남구 현대오트론,-,37.5112,127.0661
지하철역3번출구,서울특별시 강남구 양재역,-,37.4853653,127.0388261
도로변(횡단보도 포함),서울특별시 강남구 도곡동 949-3,-,37.4869,127.0332
도로변(횡단보도 포함),서울특별시 강남구 역삼동 837,-,37.4916,127.031
정류소-도로(가로)변,서울특별시 강남구 역삼동 826-22,-,37.4956916,127.0292483
도로변(횡단보도 포함),서울특별시 강남구 역삼동 826-20,-,37.4952676,127.0294042
정류소-도로(가로)변,서울특별시 강남구 역삼동 캠브리지빌딩,-,37.4982,127.0292
정류소-도로(가로)변,서울특별시 강남구 역삼동 735,-,37.499285,127.0332008
정류소-도로(가로)변,서울특별시 강남구 역삼동 718-2,-,37.5010918,127.0390857
정류소-도로(가로)변,서울특별시 강남구 역삼동 706-1,-,37.5025597,127.044093
도로변(횡단보도 포함),서울특별시 강남구 대치동 890-6,-,37.5048901,127.0516185
정류소-도로(가로)변,서울특별시 강남구 대치동945-2,-,37.5079414,127.061582
도로변(횡단보도 포함),서울특별시 강남구 대치동 997-4,-,37.5093239,127.0663945
정류소-도로(가로)변,서울특별시 강남구 대치동 998,-,37.5091124,127.0671097
정류소-도로(가로)변,서울특별시 강남구 테헤란로 432 DB금융센터빌딩,-,37.506,127.0547
정류소-도로(가로)변,서울특별시 강남구 504 해성1빌딩,-,37.507,127.0576
도로변(횡단보도 포함),서울특별시 강남구 510 루첸타워,-,37.5072,127.0585
도로변(횡단보도 포함),서울특별시 강남구 대치동 961,-,37.5030018,127.0590832
정류소-도로(가로)변,서울특별시 강남구 대치동 966-5,-,37.5039421,127.062331
정류소-도로(가로)변,서울특별시 강남구 역삼동 개나리sk뷰아파트상가,-,37.5005,127.0505
도로변(횡단보도 포함),서울특별시 강남구 대치동 986-6,-,37.5002855,127.0644634
도로변(횡단보도 포함),서울특별시 강남구 대치동 941-20,-,37.4989485,127.0600581
도로변(횡단보도 포함),서울특별시 강남구 대치동 939-21,-,37.4976419,127.0564374
